scheduler,n_tasks,edge_prob,ccr,comp_min,comp_max,noc_rows,noc_cols,processor_count,alpha,beta,seed,achieved_ccr,runtime_ms,total_computation_work,serial_speedup,makespan,primary_task_count,duplicate_task_count,duplication_ratio,total_task_instance_count,task_instance_ratio,communication_count,average_communication_latency,total_communication_time,average_link_utilization,max_link_utilization,average_processor_utilization,max_processor_utilization,baseline_makespan_heft,speedup_vs_heft,normalized_makespan_vs_heft
heft,20,0.25,0.1,5,20,4,4,16,0.0,1.0,0,0.1,42.19439998269081,253.70556034875474,2.27531013827679,111.50372693407812,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.1422068836422994,1.0,111.50372693407812,1.0,1.0
heft,20,0.25,0.1,5,20,4,4,16,0.0,1.0,1,0.09999999999999999,40.297300001839176,239.10609457567048,3.603952586881641,66.34551615523877,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.22524703668010257,0.9991141630745056,66.34551615523877,1.0,1.0
heft,20,0.25,0.1,5,20,4,4,16,0.0,1.0,2,0.1,43.07780001545325,236.04939043396465,2.5689559063719716,91.88534137486512,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.16055974414824822,1.0,91.88534137486512,1.0,1.0
heft,20,0.25,1.0,5,20,4,4,16,0.0,1.0,0,0.9999999999999999,40.836900006979704,253.70556034875474,2.27531013827679,111.50372693407812,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.1422068836422994,1.0,111.50372693407812,1.0,1.0
heft,20,0.25,1.0,5,20,4,4,16,0.0,1.0,1,0.9999999999999999,40.60969999409281,239.10609457567048,2.936780177672996,81.41777052075105,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.18354876110456228,0.8033120156984944,81.41777052075105,1.0,1.0
heft,20,0.25,1.0,5,20,4,4,16,0.0,1.0,2,1.0,44.41070000757463,236.04939043396465,2.3643451637231463,99.83711094967897,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.14777157273269667,0.9203525673051397,99.83711094967897,1.0,1.0
heft,20,0.25,5.0,5,20,4,4,16,0.0,1.0,0,5.0,41.689899982884526,253.70556034875474,1.4216227440144054,178.4619452783487,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.08885142150090035,0.8884281581177662,178.4619452783487,1.0,1.0
heft,20,0.25,5.0,5,20,4,4,16,0.0,1.0,1,5.0,40.64890000154264,239.10609457567048,1.8747250861896443,127.54195073030718,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.11717031788685278,0.646049538415014,127.54195073030718,1.0,1.0
heft,20,0.25,5.0,5,20,4,4,16,0.0,1.0,2,5.0,44.52979998313822,236.04939043396465,1.452811894478616,162.47760039070846,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.0908007434049135,0.7442570838494257,162.47760039070846,1.0,1.0
heft,20,0.4,0.1,5,20,4,4,16,0.0,1.0,0,0.09999999999999999,50.4990000044927,253.70556034875474,1.9045189164515934,133.21241293914085,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.11903243227822458,1.0,133.21241293914085,1.0,1.0
heft,20,0.4,0.1,5,20,4,4,16,0.0,1.0,1,0.1,53.322099993238226,239.10609457567048,2.0635194013847564,115.87295685963245,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.12896996258654728,1.0,115.87295685963245,1.0,1.0
heft,20,0.4,0.1,5,20,4,4,16,0.0,1.0,2,0.1,51.622800005134195,236.04939043396465,2.241273265691439,105.31932631657155,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.14007957910571497,1.0,105.31932631657155,1.0,1.0
heft,20,0.4,1.0,5,20,4,4,16,0.0,1.0,0,0.9999999999999999,55.00930000562221,253.70556034875474,1.9045189164515934,133.21241293914085,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.11903243227822458,1.0,133.21241293914085,1.0,1.0
heft,20,0.4,1.0,5,20,4,4,16,0.0,1.0,1,0.9999999999999999,53.20880000363104,239.10609457567048,1.9710725792669628,121.30760535697446,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.12319203620418519,0.9117303523634792,121.30760535697446,1.0,1.0
heft,20,0.4,1.0,5,20,4,4,16,0.0,1.0,2,1.0,49.704000004567206,236.04939043396465,2.1488683762445415,109.84823130325698,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.13430427351528387,0.9587712525458645,109.84823130325698,1.0,1.0
heft,20,0.4,5.0,5,20,4,4,16,0.0,1.0,0,5.0,47.56070001167245,253.70556034875474,1.4813703569906214,171.26409958962137,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.09258564731191385,0.6799937656247305,171.26409958962137,1.0,1.0
heft,20,0.4,5.0,5,20,4,4,16,0.0,1.0,1,5.0,70.3528999874834,239.10609457567048,1.5046193608798857,158.9146735662392,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.09403871005499284,0.8399908961838971,158.9146735662392,1.0,1.0
heft,20,0.4,5.0,5,20,4,4,16,0.0,1.0,2,5.0,48.0321999930311,236.04939043396465,1.5779491235515324,149.5925229215768,20,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0.09862182022197077,0.8068862650917579,149.5925229215768,1.0,1.0
heft,40,0.25,0.1,5,20,4,4,16,0.0,1.0,0,0.09999999999999999,113.42599999625236,522.0091180280147,3.2713014254649786,159.57230781746654,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.20445633909156116,1.0,159.57230781746654,1.0,1.0
heft,40,0.25,0.1,5,20,4,4,16,0.0,1.0,1,0.09999999999999999,123.32579999929294,500.86789302425416,2.787033460280512,179.7136274689154,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.174189591267532,0.99875516039716,179.7136274689154,1.0,1.0
heft,40,0.25,0.1,5,20,4,4,16,0.0,1.0,2,0.1,139.84730001538992,504.33877821726617,2.6629407027604177,189.3916667744295,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.1664337939225261,1.0,189.3916667744295,1.0,1.0
heft,40,0.25,1.0,5,20,4,4,16,0.0,1.0,0,1.0,128.168099996401,522.0091180280147,3.183483538220551,163.9741848075641,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.19896772113878444,0.973155060991683,163.9741848075641,1.0,1.0
heft,40,0.25,1.0,5,20,4,4,16,0.0,1.0,1,0.9999999999999999,124.06390000251122,500.86789302425416,2.7598743611003234,181.48213559423232,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.17249214756877024,0.9890224855496821,181.48213559423232,1.0,1.0
heft,40,0.25,1.0,5,20,4,4,16,0.0,1.0,2,1.0,132.43959998362698,504.33877821726617,2.619632155643549,192.52274680273513,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.16372700972772178,0.9455691336726336,192.52274680273513,1.0,1.0
heft,40,0.25,5.0,5,20,4,4,16,0.0,1.0,0,5.0,117.60009999852628,522.0091180280147,2.452075375062785,212.88461331032642,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.15325471094142407,0.825162272536921,212.88461331032642,1.0,1.0
heft,40,0.25,5.0,5,20,4,4,16,0.0,1.0,1,4.999999999999999,121.48160001379438,500.86789302425416,2.3682304305142328,211.49457695106838,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.14801440190713955,0.891953276573126,211.49457695106838,1.0,1.0
heft,40,0.25,5.0,5,20,4,4,16,0.0,1.0,2,5.0,124.77019999641925,504.33877821726617,2.1635935548605345,233.10236670111354,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.1352245971787834,0.8306065791566243,233.10236670111354,1.0,1.0
heft,40,0.4,0.1,5,20,4,4,16,0.0,1.0,0,0.1,164.04999999213032,522.0091180280147,1.760470736658889,296.51678222082245,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.11002942104118056,1.0,296.51678222082245,1.0,1.0
heft,40,0.4,0.1,5,20,4,4,16,0.0,1.0,1,0.10000000000000002,165.6008000136353,500.86789302425416,2.2137887625673445,226.24918036145175,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.13836179766045906,0.9993346669427259,226.24918036145175,1.0,1.0
heft,40,0.4,0.1,5,20,4,4,16,0.0,1.0,2,0.1,160.97799999988638,504.33877821726617,2.037210695515805,247.5633862159612,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.1273256684697378,1.0,247.5633862159612,1.0,1.0
heft,40,0.4,1.0,5,20,4,4,16,0.0,1.0,0,1.0,153.27480001724325,522.0091180280147,1.735475801355622,300.78732162111436,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.1084672375847264,0.9797938493327867,300.78732162111436,1.0,1.0
heft,40,0.4,1.0,5,20,4,4,16,0.0,1.0,1,1.0,171.78870001225732,500.86789302425416,2.188144160635882,228.90077447123062,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.13675901003974264,0.8850589174674856,228.90077447123062,1.0,1.0
heft,40,0.4,1.0,5,20,4,4,16,0.0,1.0,2,0.9999999999999999,165.68599999300204,504.33877821726617,2.0251758197787835,249.03456445196778,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.12657348873617397,0.9940924737124579,249.03456445196778,1.0,1.0
heft,40,0.4,5.0,5,20,4,4,16,0.0,1.0,0,5.0,161.23590001370758,522.0091180280147,1.5407204498619715,338.80845683250317,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.09629502811637322,0.8674531907393384,338.80845683250317,1.0,1.0
heft,40,0.4,5.0,5,20,4,4,16,0.0,1.0,1,5.0,166.02130001410842,500.86789302425416,1.9403168714205545,258.1371632652744,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.12126980446378467,0.7825390015865638,258.1371632652744,1.0,1.0
heft,40,0.4,5.0,5,20,4,4,16,0.0,1.0,2,5.0,165.73959999368526,504.33877821726617,1.816218366363529,277.6862009313693,40,0,0.0,40,1.0,0,0.0,0.0,0.0,0.0,0.11351364789772053,0.8055971498141886,277.6862009313693,1.0,1.0
contention_aware,20,0.25,0.1,5,20,4,4,16,0.0,1.0,0,0.1,60.27719998382963,253.70556034875474,2.27531013827679,111.50372693407812,20,0,0.0,20,1.0,21,0.6049634456367488,12.704232358371723,0.0035235279172997143,0.03982739836910044,0.1422068836422994,1.0,111.50372693407812,1.0,1.0
contention_aware,20,0.25,0.1,5,20,4,4,16,0.0,1.0,1,0.09999999999999999,60.38179999450222,239.10609457567048,3.603952586881641,66.34551615523877,20,0,0.0,20,1.0,26,0.6269142179461016,16.299769666598642,0.008693862476319264,0.06154291016534123,0.22524703668010257,0.9991141630745056,66.34551615523877,1.0,1.0
contention_aware,20,0.25,0.1,5,20,4,4,16,0.0,1.0,2,0.1,69.3786000192631,236.04939043396465,2.5689559063719716,91.88534137486512,20,0,0.0,20,1.0,36,0.47255678078413627,17.012044108228906,0.006050310368124752,0.05976644882731011,0.16055974414824822,1.0,91.88534137486512,1.0,1.0
contention_aware,20,0.25,1.0,5,20,4,4,16,0.0,1.0,0,0.9999999999999999,57.624700013548136,253.70556034875474,2.27531013827679,111.50372693407812,20,0,0.0,20,1.0,20,5.91253639348737,118.2507278697474,0.03552107547788153,0.4112834715554134,0.1422068836422994,1.0,111.50372693407812,1.0,1.0
contention_aware,20,0.25,1.0,5,20,4,4,16,0.0,1.0,1,0.9999999999999999,57.52590001793578,239.10609457567048,2.8146315814403082,84.95111621440512,20,0,0.0,20,1.0,28,6.13020748392845,171.64580954999659,0.06768062512713953,0.5526503519682321,0.17591447384001926,0.8577643962578393,81.41777052075105,0.958407307036009,1.0433977210510024
contention_aware,20,0.25,1.0,5,20,4,4,16,0.0,1.0,2,1.0,68.01179997273721,236.04939043396465,2.3643451637231463,99.83711094967897,20,0,0.0,20,1.0,35,4.760101001587017,166.6035350555456,0.058821620033940564,0.4135062837564709,0.14777157273269667,0.9203525673051397,99.83711094967897,1.0,1.0
contention_aware,20,0.25,5.0,5,20,4,4,16,0.0,1.0,0,5.0,58.75940000987612,253.70556034875474,0.9803479760559398,258.7913338378515,20,0,0.0,20,1.0,18,29.053123379364795,522.9562208285663,0.047974543894688526,0.839032550069742,0.06127174850349625,0.5699041598343664,178.4619452783487,0.6895978417506282,1.450120547740373
contention_aware,20,0.25,5.0,5,20,4,4,16,0.0,1.0,1,5.0,56.276499992236495,239.10609457567048,0.954585208404197,250.48166729441562,20,0,0.0,20,1.0,21,29.873612332510994,627.3458589827309,0.07278367538619568,0.7718063432918907,0.059661575525262314,0.3219052718805563,127.54195073030718,0.5091867684687464,1.9639159183323895
contention_aware,20,0.25,5.0,5,20,4,4,16,0.0,1.0,2,5.0,61.63050001487136,236.04939043396465,1.080792437498243,218.40399899573538,20,0,0.0,20,1.0,23,23.705792459698372,545.2332265730626,0.08385826170012989,0.8710718835208241,0.06754952734364018,0.5189458341070705,162.47760039070846,0.7439314350369612,1.3442099001372572
contention_aware,20,0.4,0.1,5,20,4,4,16,0.0,1.0,0,0.09999999999999999,70.3127000015229,253.70556034875474,1.9045189164515934,133.21241293914085,20,0,0.0,20,1.0,35,0.39418923358807956,13.796623175582784,0.0028273234983651496,0.042002444062206816,0.11903243227822458,1.0,133.21241293914085,1.0,1.0
contention_aware,20,0.4,0.1,5,20,4,4,16,0.0,1.0,1,0.1,74.20339999953285,239.10609457567048,2.0635194013847564,115.87295685963245,20,0,0.0,20,1.0,47,0.3171567238766421,14.90636602220218,0.0039691555452375125,0.07184977423701014,0.12896996258654728,1.0,115.87295685963245,1.0,1.0
contention_aware,20,0.4,0.1,5,20,4,4,16,0.0,1.0,2,0.1,76.57070001005195,236.04939043396465,2.241273265691439,105.31932631657155,20,0,0.0,20,1.0,54,0.32029345576336177,17.295846611221535,0.0055379994518689486,0.08150067009423999,0.14007957910571497,1.0,105.31932631657155,1.0,1.0
