dag_family,dag_label,n_tasks,n_edges,ccr,alpha,beta,seed,scheduler,scheduler_label,native_makespan,replayed_makespan,native_speedup_vs_heft,replayed_speedup_vs_heft,replay_overhead_ratio,contention_penalty,normalized_contention_penalty,duplicate_count,task_instance_ratio,duplication_efficiency,makespan_reduction_per_dup,comm_count,total_comm_time,link_total_busy_time,link_max_busy_time,link_mean_busy_time,link_load_imbalance,n_used_links
out_tree,Out-tree,7,6,1.0,0.0,1.0,0,heft,HEFT,61.2888,92.2914,1.0,1.0,1.505844,31.0026,0.505844,0,1.0,,,0,0,111.3938,54.5907,37.1313,0.319824,3
out_tree,Out-tree,7,6,1.0,0.0,1.0,0,cdls,CD-LS,46.419,56.5994,1.32034,1.630609,1.219315,10.1804,0.219315,3,1.428571,1.471421,11.8974,0,0,71.1002,27.7502,23.7001,0.14595,3
out_tree,Out-tree,7,6,1.0,0.0,1.0,0,cad,Proposed CA-D,40.8003,40.8003,1.502167,2.262029,1.0,0.0,0.0,5,1.714286,1.766841,10.2982,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,1.0,0.0,1.0,1,heft,HEFT,67.8621,71.2624,1.0,1.0,1.050105,3.4002,0.050105,0,1.0,,,0,0,29.6506,29.6506,29.6506,0.0,1
out_tree,Out-tree,7,6,1.0,0.0,1.0,1,cdls,CD-LS,56.9886,56.9886,1.190801,1.250467,1.0,0.0,0.0,2,1.285714,0.876633,7.1369,0,0,30.7537,15.3769,15.3769,0.0,2
out_tree,Out-tree,7,6,1.0,0.0,1.0,1,cad,Proposed CA-D,51.164,51.164,1.326364,1.392822,1.0,0.0,0.0,5,1.714286,0.54995,4.0197,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,1.0,0.0,1.0,2,heft,HEFT,58.9234,82.7871,1.0,1.0,1.404994,23.8637,0.404994,0,1.0,,,0,0,93.9511,56.567,46.9755,0.16956,2
out_tree,Out-tree,7,6,1.0,0.0,1.0,2,cdls,CD-LS,44.9546,49.6909,1.310731,1.66604,1.105357,4.7363,0.105357,3,1.428571,1.554092,11.032,0,0,51.696,31.2248,17.232,0.448132,3
out_tree,Out-tree,7,6,1.0,0.0,1.0,2,cad,Proposed CA-D,42.066,42.066,1.400738,1.968029,1.0,0.0,0.0,5,1.714286,1.355241,8.1442,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,1.0,0.0,1.0,3,heft,HEFT,46.9865,46.9865,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,19.42,12.6171,9.71,0.230411,2
out_tree,Out-tree,7,6,1.0,0.0,1.0,3,cdls,CD-LS,46.9865,46.9865,1.0,1.0,1.0,0.0,0.0,2,1.285714,0.0,0.0,0,0,13.6057,6.8029,6.8029,0.0,2
out_tree,Out-tree,7,6,1.0,0.0,1.0,3,cad,Proposed CA-D,35.4896,35.4896,1.323951,1.323951,1.0,0.0,0.0,5,1.714286,0.453532,2.2994,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,1.0,0.0,1.0,4,heft,HEFT,76.494,97.654,1.0,1.0,1.276624,21.16,0.276624,0,1.0,,,0,0,69.5782,55.1909,34.7891,0.369659,2
out_tree,Out-tree,7,6,1.0,0.0,1.0,4,cdls,CD-LS,63.824,63.824,1.198513,1.53005,1.0,0.0,0.0,2,1.285714,1.855176,16.915,0,0,28.359,14.3872,9.453,0.342959,3
out_tree,Out-tree,7,6,1.0,0.0,1.0,4,cad,Proposed CA-D,55.818,55.818,1.370417,1.749507,1.0,0.0,0.0,5,1.714286,1.049309,8.3672,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,1.0,0.0,1.0,5,heft,HEFT,60.1261,60.1261,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,13.7617,9.4093,6.8808,0.268723,2
out_tree,Out-tree,7,6,1.0,0.0,1.0,5,cdls,CD-LS,44.9078,49.1653,1.338879,1.222937,1.094806,4.2575,0.094806,3,1.428571,0.520187,3.6536,0,0,21.4773,8.6099,7.1591,0.168502,3
out_tree,Out-tree,7,6,1.0,0.0,1.0,5,cad,Proposed CA-D,43.4812,43.4812,1.382808,1.382808,1.0,0.0,0.0,5,1.714286,0.535931,3.329,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,1.0,0.0,1.0,6,heft,HEFT,68.0606,68.0606,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,20.3541,12.2535,10.1771,0.169458,2
out_tree,Out-tree,7,6,1.0,0.0,1.0,6,cdls,CD-LS,53.2147,53.2147,1.278981,1.278981,1.0,0.0,0.0,1,1.142857,1.952866,14.8459,0,0,8.1006,8.1006,8.1006,0.0,1
out_tree,Out-tree,7,6,1.0,0.0,1.0,6,cad,Proposed CA-D,43.0332,43.0332,1.581582,1.581582,1.0,0.0,0.0,5,1.714286,0.814215,5.0055,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,1.0,0.0,1.0,7,heft,HEFT,67.3505,68.1718,1.0,1.0,1.012194,0.8213,0.012194,0,1.0,,,0,0,28.2881,19.0568,14.144,0.257795,2
out_tree,Out-tree,7,6,1.0,0.0,1.0,7,cdls,CD-LS,50.7152,50.7152,1.328014,1.344207,1.0,0.0,0.0,1,1.142857,2.409451,17.4566,0,0,18.4626,9.2313,9.2313,0.0,2
out_tree,Out-tree,7,6,1.0,0.0,1.0,7,cad,Proposed CA-D,49.115,49.115,1.371282,1.388003,1.0,0.0,0.0,5,1.714286,0.543204,3.8114,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,1.0,0.0,1.0,8,heft,HEFT,64.5904,64.5904,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,9.1442,9.1442,9.1442,0.0,1
out_tree,Out-tree,7,6,1.0,0.0,1.0,8,cdls,CD-LS,56.3226,56.3226,1.146793,1.146793,1.0,0.0,0.0,4,1.571429,0.256888,2.0669,0,0,45.7208,18.2883,15.2403,0.166667,3
out_tree,Out-tree,7,6,1.0,0.0,1.0,8,cad,Proposed CA-D,47.7622,47.7622,1.352334,1.352334,1.0,0.0,0.0,5,1.714286,0.493267,3.3656,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,1.0,0.0,1.0,9,heft,HEFT,68.3732,91.6267,1.0,1.0,1.340097,23.2535,0.340097,0,1.0,,,0,0,133.1249,54.3688,33.2812,0.387862,4
out_tree,Out-tree,7,6,1.0,0.0,1.0,9,cdls,CD-LS,68.3732,91.6267,1.0,1.0,1.340097,23.2535,0.340097,1,1.142857,0.0,0.0,0,0,76.7334,48.5296,25.5778,0.472944,3
out_tree,Out-tree,7,6,1.0,0.0,1.0,9,cad,Proposed CA-D,50.8317,50.8317,1.345091,1.802552,1.0,0.0,0.0,5,1.714286,1.123573,8.159,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,5.0,0.0,1.0,0,heft,HEFT,84.4537,84.4537,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,5.0,0.0,1.0,0,cdls,CD-LS,52.9599,52.9599,1.594672,1.594672,1.0,0.0,0.0,1,1.142857,4.162704,31.4938,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,5.0,0.0,1.0,0,cad,Proposed CA-D,40.8003,40.8003,2.069929,2.069929,1.0,0.0,0.0,5,1.714286,1.4979,8.7307,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,5.0,0.0,1.0,1,heft,HEFT,96.7693,96.7693,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,5.0,0.0,1.0,1,cdls,CD-LS,60.8415,60.8415,1.590515,1.590515,1.0,0.0,0.0,1,1.142857,4.133607,35.9278,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,5.0,0.0,1.0,1,cad,Proposed CA-D,51.164,51.164,1.891355,1.891355,1.0,0.0,0.0,5,1.714286,1.247897,9.1211,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,5.0,0.0,1.0,2,heft,HEFT,79.7421,79.7421,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,5.0,0.0,1.0,2,cdls,CD-LS,49.8845,49.8845,1.598535,1.598535,1.0,0.0,0.0,1,1.142857,4.189745,29.8576,0,0,0.0,0.0,0.0,0.0,0
out_tree,Out-tree,7,6,5.0,0.0,1.0,2,cad,Proposed CA-D,42.066,42.066,1.895644,1.895644,1.0,0.0,0.0,5,1.714286,1.253901,7.5352,0,0,0.0,0.0,0.0,0.0,0
