dag_family,dag_label,n_tasks,n_edges,ccr,seed,scheduler,direct_dup_attempts,direct_dup_accepted,direct_dup_rejected,total_new_placements,recursive_ancestor_placements,prune_candidates,prune_removed,native_makespan
chain,Chain,10,9,0.1,0,CD-LS,135,60,75,60,0,0,0,132.5766
chain,Chain,10,9,0.1,0,CA-D,135,135,0,675,540,0,0,132.5766
chain,Chain,10,9,0.1,1,CD-LS,135,60,75,60,0,0,0,126.5646
chain,Chain,10,9,0.1,1,CA-D,135,135,0,675,540,0,0,126.5646
chain,Chain,10,9,0.1,2,CD-LS,135,75,60,75,0,0,0,109.5553
chain,Chain,10,9,0.1,2,CA-D,135,135,0,675,540,0,0,109.5553
chain,Chain,10,9,0.1,3,CD-LS,135,105,30,105,0,0,0,105.8029
chain,Chain,10,9,0.1,3,CA-D,135,135,0,675,540,0,0,105.8029
chain,Chain,10,9,0.1,4,CD-LS,135,60,75,60,0,0,0,138.3097
chain,Chain,10,9,0.1,4,CA-D,135,135,0,675,540,0,0,138.3097
chain,Chain,10,9,0.1,5,CD-LS,135,75,60,75,0,0,0,115.2958
chain,Chain,10,9,0.1,5,CA-D,135,135,0,675,540,0,0,115.2958
chain,Chain,10,9,0.1,6,CD-LS,135,75,60,75,0,0,0,125.7857
chain,Chain,10,9,0.1,6,CA-D,135,135,0,675,540,0,0,125.7857
chain,Chain,10,9,0.1,7,CD-LS,135,75,60,75,0,0,0,136.8263
chain,Chain,10,9,0.1,7,CA-D,135,135,0,675,540,0,0,136.8263
chain,Chain,10,9,0.1,8,CD-LS,135,90,45,90,0,0,0,126.1856
chain,Chain,10,9,0.1,8,CA-D,135,135,0,675,540,0,0,126.1856
chain,Chain,10,9,0.1,9,CD-LS,135,60,75,60,0,0,0,146.1751
chain,Chain,10,9,0.1,9,CA-D,135,135,0,675,540,0,0,146.1751
chain,Chain,10,9,0.1,10,CD-LS,135,90,45,90,0,0,0,135.5503
chain,Chain,10,9,0.1,10,CA-D,135,135,0,675,540,0,0,135.5503
chain,Chain,10,9,0.1,11,CD-LS,135,75,60,75,0,0,0,111.5687
