dag_family,dag_label,n_tasks,n_edges,ccr,alpha,beta,seed,scheduler,scheduler_label,native_makespan,replayed_makespan,native_speedup_vs_heft,replayed_speedup_vs_heft,replay_overhead_ratio,contention_penalty,normalized_contention_penalty,duplicate_count,task_instance_ratio,duplication_efficiency,makespan_reduction_per_dup,comm_count,total_comm_time,link_total_busy_time,link_max_busy_time,link_mean_busy_time,link_load_imbalance,n_used_links
chain,Chain,10,9,0.1,0.0,1.0,0,heft,HEFT,132.5766,132.5766,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,0,cdls,CD-LS,132.5766,132.5766,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,0,cad,Proposed CA-D,132.5766,132.5766,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,1,heft,HEFT,126.5646,126.5646,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,1,cdls,CD-LS,126.5646,126.5646,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,1,cad,Proposed CA-D,126.5646,126.5646,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,2,heft,HEFT,109.5553,109.5553,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,2,cdls,CD-LS,109.5553,109.5553,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,2,cad,Proposed CA-D,109.5553,109.5553,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,3,heft,HEFT,105.8029,105.8029,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,3,cdls,CD-LS,105.8029,105.8029,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,3,cad,Proposed CA-D,105.8029,105.8029,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,4,heft,HEFT,138.3097,138.3097,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,4,cdls,CD-LS,138.3097,138.3097,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,4,cad,Proposed CA-D,138.3097,138.3097,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,5,heft,HEFT,115.2958,115.2958,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,5,cdls,CD-LS,115.2958,115.2958,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,5,cad,Proposed CA-D,115.2958,115.2958,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,6,heft,HEFT,125.7857,125.7857,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,6,cdls,CD-LS,125.7857,125.7857,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,6,cad,Proposed CA-D,125.7857,125.7857,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,7,heft,HEFT,136.8263,136.8263,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,7,cdls,CD-LS,136.8263,136.8263,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,7,cad,Proposed CA-D,136.8263,136.8263,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,8,heft,HEFT,126.1856,126.1856,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,8,cdls,CD-LS,126.1856,126.1856,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,8,cad,Proposed CA-D,126.1856,126.1856,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,9,heft,HEFT,146.1751,146.1751,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,9,cdls,CD-LS,146.1751,146.1751,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,9,cad,Proposed CA-D,146.1751,146.1751,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,10,heft,HEFT,135.5503,135.5503,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,10,cdls,CD-LS,135.5503,135.5503,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,10,cad,Proposed CA-D,135.5503,135.5503,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
chain,Chain,10,9,0.1,0.0,1.0,11,heft,HEFT,111.5687,111.5687,1.0,1.0,1.0,0.0,0.0,0,1.0,,,0,0,0.0,0.0,0.0,0.0,0
