dag_family,dag_label,ccr,alpha,beta,seed,scheduler,scheduler_label,native_makespan,replayed_makespan,speedup_vs_heft_replayed,replay_overhead_ratio,original_task_count,total_task_instances,duplicate_instance_count,task_instance_ratio,remote_communication_volume,total_communication_volume,remote_communication_volume_ratio
chain,Chain,0.1,0.0,1.0,0,heft,HEFT,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,13.2577,0.0
chain,Chain,0.1,0.0,1.0,0,cdls,CD-LS,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,13.2577,0.0
chain,Chain,0.1,0.0,1.0,0,cad,CA-D,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,13.2577,0.0
chain,Chain,1.0,0.0,1.0,0,heft,HEFT,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,132.5766,0.0
chain,Chain,1.0,0.0,1.0,0,cdls,CD-LS,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,132.5766,0.0
chain,Chain,1.0,0.0,1.0,0,cad,CA-D,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,132.5766,0.0
chain,Chain,5.0,0.0,1.0,0,heft,HEFT,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,662.8829,0.0
chain,Chain,5.0,0.0,1.0,0,cdls,CD-LS,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,662.8829,0.0
chain,Chain,5.0,0.0,1.0,0,cad,CA-D,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,662.8829,0.0
chain,Chain,10.0,0.0,1.0,0,heft,HEFT,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,1325.7658,0.0
chain,Chain,10.0,0.0,1.0,0,cdls,CD-LS,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,1325.7658,0.0
chain,Chain,10.0,0.0,1.0,0,cad,CA-D,132.5766,132.5766,1.0,1.0,10,10,0,1.0,0.0,1325.7658,0.0
fork,Fork,0.1,0.0,1.0,0,heft,HEFT,33.8277,38.4715,1.0,1.137279,9,9,0,1.0,11.0452,11.355,0.972709
fork,Fork,0.1,0.0,1.0,0,cdls,CD-LS,33.2458,33.2458,1.157186,1.0,9,16,7,1.777778,0.0,11.355,0.0
fork,Fork,0.1,0.0,1.0,0,cad,CA-D,33.2458,33.2458,1.157186,1.0,9,16,7,1.777778,0.0,11.355,0.0
fork,Fork,1.0,0.0,1.0,0,heft,HEFT,50.4448,93.4585,1.0,1.852687,9,9,0,1.0,89.7095,113.5505,0.790041
